hour,bus_0_pu,bus_1_pu,bus_2_pu,bus_3_pu,bus_4_pu,bus_5_pu,bus_6_pu,bus_7_pu,bus_8_pu,bus_9_pu,bus_10_pu,bus_11_pu,bus_12_pu,bus_13_pu,bus_14_pu,bus_15_pu,bus_16_pu,bus_17_pu,bus_18_pu,bus_19_pu,bus_20_pu,bus_21_pu,bus_22_pu,bus_23_pu,bus_24_pu,bus_25_pu,bus_26_pu,bus_27_pu,bus_28_pu,bus_29_pu,bus_30_pu,bus_31_pu,bus_32_pu
0,1.0,0.9982601103842147,0.9900185407863036,0.9856684172195488,0.9813718631564711,0.9706917900616111,0.9686690459696318,0.965856893752637,0.9622272793890271,0.9588623339796312,0.9583647311795939,0.9574974219503678,0.9539655173519593,0.9526564575393397,0.9518411989970831,0.9510517122365039,0.9498821780138832,0.9495319201449807,0.9979440156879286,0.9958045171909109,0.9953832402975021,0.9950021177182775,0.9878927545293941,0.9839391012163183,0.9819698038383816,0.9695740445505603,0.9680894841478584,0.9614657920297314,0.9567085507786348,0.9546500418840146,0.9522447706439275,0.9517156649634438,0.9515517339200901
1,1.0,0.9984094601544078,0.9908776695527993,0.9869048239104509,0.9829813887472785,0.9732296443100538,0.9713827529486411,0.9688149766109843,0.9655018039326525,0.9624304096258486,0.9619762227609645,0.9611846237294962,0.9579614201811265,0.9567668376990117,0.9560229108677643,0.9553025161375707,0.9542353818566468,0.953915788011931,0.9981198107462328,0.9961593997041582,0.9957733899319008,0.9954241774151722,0.9889318641474707,0.9853130962018781,0.9835107429894369,0.9722092683687868,0.9708541144393408,0.9648078499172699,0.9604654487696589,0.958586528238233,0.9563913700910838,0.9559084880176238,0.9557588795910003
2,1.0,0.9984986611832399,0.991390581184303,0.9876427096542885,0.9839417237289055,0.9747433592857994,0.9730012914126824,0.9705791940343652,0.9674545639442759,0.9645580561443523,0.9641297342564551,0.9633832359356157,0.960343889309265,0.9592174817229477,0.958516031644074,0.9578367785250106,0.9568306148479997,0.9565292791709714,0.9982248696965454,0.9963718404315256,0.9960069766574774,0.9956768968705225,0.9895525070336553,0.9861341784359278,0.9844317339844693,0.9737810056650136,0.9725029570351054,0.9668007408395045,0.9627055020292615,0.9609335726764691,0.9588635652133293,0.9584082152033323,0.9582671376003501
3,1.0,0.9985579606830036,0.9917314690236564,0.9881330091030253,0.9845797395133453,0.975748811899764,0.9740763441881221,0.9717509779821126,0.9687515010130345,0.965971074418271,0.9655599202162629,0.964843355714947,0.961926021794528,0.9608448546521632,0.9601715904357626,0.9595196366405779,0.9585539278570729,0.9582647068677759,0.9982947373035788,0.9965132665376341,0.9961624941690219,0.9958451640097881,0.9899651093811115,0.9866802037192972,0.9850442585895292,0.9748249761116575,0.9735981102825858,0.9681242726782269,0.9641930949969285,0.9624921809238866,0.9605052315316819,0.9600681534417979,0.959932737351556
4,1.0,0.9985283276203668,0.9915611298092926,0.9878880208383055,0.9842609510276624,0.9752464523731992,0.9735392126178976,0.9711655193928452,0.9681035197008121,0.9652651031457969,0.9648453726138773,0.9641138544459311,0.9611355696518208,0.9600318030932852,0.9593444590522898,0.9586788683484415,0.957692951202674,0.9573976785721979,0.9982598205707773,0.9964425734863936,0.9960847560069022,0.9957610515855846,0.9897589235114723,0.9864073266460488,0.9847381424728624,0.9743033739337025,0.9730509386329929,0.967463009782204,0.9634498724431981,0.9617134817409939,0.9596850406324764,0.9592388348056843,0.9591005905120499
5,1.0,0.9984094601544078,0.9908776695527993,0.9869048239104509,0.9829813887472785,0.9732296443100538,0.9713827529486411,0.9688149766109843,0.9655018039326525,0.9624304096258486,0.9619762227609645,0.9611846237294962,0.9579614201811265,0.9567668376990117,0.9560229108677643,0.9553025161375707,0.9542353818566468,0.953915788011931,0.9981198107462328,0.9961593997041582,0.9957733899319008,0.9954241774151722,0.9889318641474707,0.9853130962018781,0.9835107429894369,0.9722092683687868,0.9708541144393408,0.9648078499172699,0.9604654487696589,0.958586528238233,0.9563913700910838,0.9559084880176238,0.9557588795910003
6,1.0,0.9981098921773447,0.9891539614172414,0.9844235973798185,0.9797508988108156,0.9681348004022591,0.9659347393437576,0.9628761972195309,0.95892732529904,0.9552661791401438,0.9547247672849363,0.9537810547287215,0.9499375433759576,0.9485129161831581,0.9476256390338695,0.9467663917764934,0.9454934570140952,0.9451122361470702,0.9977673328241795,0.9954485988990112,0.99499202500711,0.9945789645125618,0.9868476526424212,0.9825580782783425,0.9804212939980262,0.9669188350193767,0.9653037214360052,0.9580974741589683,0.9529216840522473,0.9506819643570242,0.9480646260766498,0.9474888662224598,0.9473104788804745
7,1.0,0.9976538229976366,0.986526230791172,0.9806366216104501,0.9748165667431303,0.9603442455039313,0.957603073996011,0.9537927641703282,0.948868479596487,0.9443021271292317,0.943626824420825,0.9424495569423129,0.93765299867346,0.9358748296228757,0.9347671852749956,0.9336944602810192,0.9321050410271001,0.9316290539789088,0.9972317523255325,0.9943744160433463,0.9938117702361428,0.9933027273479877,0.9836750359099768,0.9783713529985951,0.975728782278255,0.958828296262647,0.9568143410703958,0.9478283112721048,0.9413736406654442,0.9385801219929665,0.9353143298665322,0.934595907385275,0.9343733127777752
8,1.0,0.9974999227695219,0.9856385326826904,0.9793560680995939,0.973146980382308,0.9577058372746182,0.9547811095476044,0.9507158286652113,0.9454602617006519,0.9405863879104595,0.939865596346831,0.9386089626714139,0.9334883644114522,0.9315899615309129,0.9304073566344891,0.9292620075700418,0.9275648996576351,0.9270566684513606,0.9970513088149076,0.9940141368751185,0.9934160728837815,0.9928749791196224,0.9826045790738116,0.9769606991990991,0.9741484003313804,0.9560880396060653,0.9539386358887502,0.9443481590129739,0.9374591012878669,0.9344774404666276,0.9309912245234359,0.9302243062585714,0.929986683526156
9,1.0,0.997592378625148,0.9861718783440979,0.9801255247870994,0.9741502633047256,0.9592914480485961,0.9564770508997193,0.9525650233646763,0.9475086058603749,0.9428196027708532,0.9421261576332605,0.9409172373857626,0.9359914566675515,0.934165341846791,0.9330278064694141,0.9319261225688402,0.9302937637483133,0.9298049196360134,0.9971596930271328,0.9942304406936701,0.9936536312895571,0.9931317714778584,0.9832476487772746,0.9778080186492902,0.9750976256439415,0.9577348740474204,0.9556668941158832,0.946439777224948,0.9398118523230782,0.9369432959166215,0.9335895986794744,0.9328518361582899,0.9326232483960748
