hour,line_0_pct,line_1_pct,line_2_pct,line_3_pct,line_4_pct,line_5_pct,line_6_pct,line_7_pct,line_8_pct,line_9_pct,line_10_pct,line_11_pct,line_12_pct,line_13_pct,line_14_pct,line_15_pct,line_16_pct,line_17_pct,line_18_pct,line_19_pct,line_20_pct,line_21_pct,line_22_pct,line_23_pct,line_24_pct,line_25_pct,line_26_pct,line_27_pct,line_28_pct,line_29_pct,line_30_pct,line_31_pct,line_32_pct,line_33_pct,line_34_pct,line_35_pct,line_36_pct
0,0.0001233224882327483,0.0001094148536480609,7.82713627428415e-05,7.426975264566804e-05,7.242332023585882e-05,3.395040929471203e-05,2.763546399989472e-05,2.1302940379289297e-05,1.9516421465521467e-05,1.7725924431649374e-05,1.6196882572915242e-05,1.422029032235128e-05,1.2239339366161333e-05,8.193439541229054e-06,6.472205308126387e-06,4.654879349796096e-06,2.8381644664320713e-06,1.0822652513875334e-05,8.122173440152766e-06,5.415891609707031e-06,2.708464342372426e-06,2.874607334955055e-05,2.5899233725124297e-05,1.2962589122758886e-05,3.788370409803556e-05,3.620468001768191e-05,3.4539368750528385e-05,3.2990411190306225e-05,2.9278394923686533e-05,1.3498426598048263e-05,8.7446351619677e-06,2.0736264655830663e-06,0.0,0.0,0.0,0.0,0.0
1,0.00011273573679253924,9.999078377845019e-05,7.14822410920952e-05,6.781868165914034e-05,6.612884598287933e-05,3.100598612782155e-05,2.5233473158894786e-05,1.9446414395366366e-05,1.7814294603813925e-05,1.6179066316844274e-05,1.4782733180761847e-05,1.297783570028017e-05,1.1169560358989803e-05,7.476811541431897e-06,5.905895019022833e-06,4.2474201757678025e-06,2.5896944719913605e-06,9.91742010565167e-06,7.442416822621941e-06,4.96254223744068e-06,2.481706291083657e-06,2.6312657930078895e-05,2.370581083612895e-05,1.186375636782683e-05,3.4585844888608926e-05,3.3051042544033765e-05,3.152898282163598e-05,3.0114140465524066e-05,2.672489312165199e-05,1.2319479366361042e-05,7.980727823485874e-06,1.8924570405194537e-06,0.0,0.0,0.0,0.0,0.0
2,0.00010641275133098804,9.436507721315138e-05,6.743390202263961e-05,6.39727540032545e-05,6.237662581114717e-05,2.925018858634511e-05,2.3801627055813254e-05,1.8340188662303984e-05,1.6800190632618417e-05,1.5257553401133956e-05,1.394034749462932e-05,1.2237809159784842e-05,1.0532420613865969e-05,7.0500474230831964e-06,5.568669293093922e-06,4.004802394367088e-06,2.4417486282572385e-06,9.374578192969223e-06,7.034821300256759e-06,4.690712499025516e-06,2.345744952911968e-06,2.485605243081213e-05,2.2392950664223173e-05,1.1206148587285404e-05,3.2620445295707e-05,3.117177508577674e-05,2.9735248649744473e-05,2.8400402304239566e-05,2.5203548593907564e-05,1.1617237300004151e-05,7.5257196680091865e-06,1.7845488076481402e-06,0.0,0.0,0.0,0.0,0.0
3,0.00010220936080121865,9.062640227710594e-05,6.474531680135216e-05,6.141893678581214e-05,5.988517693483815e-05,2.808410998477254e-05,2.2850896069885986e-05,1.7605856385451104e-05,1.6127060279391362e-05,1.4645916459338998e-05,1.338125773923384e-05,1.1746689062574754e-05,1.0109597209311464e-05,6.7668537166735544e-06,5.344900644123948e-06,3.843817876723096e-06,2.3435832646975034e-06,9.012807078709461e-06,6.763198250805936e-06,4.509567359174115e-06,2.255142879147859e-06,2.3886405449158288e-05,2.151903048380651e-05,1.0768442625095287e-05,3.1315637300496116e-05,2.992422368056325e-05,2.8544547778516997e-05,2.7262837928290363e-05,2.4193726805024737e-05,1.1151175970086581e-05,7.22374757817104e-06,1.7129349990365185e-06,0.0,0.0,0.0,0.0,0.0
4,0.00010430986972989175,9.249456708888693e-05,6.608858514377701e-05,6.269483835554763e-05,6.112990462279477e-05,2.8666706741910816e-05,2.332588069331335e-05,1.7972709433448714e-05,1.646333350096249e-05,1.4951466228750349e-05,1.3660554219614634e-05,1.1992027523046387e-05,1.032081658139459e-05,6.908319898564482e-06,5.456680838690968e-06,3.924234593692466e-06,2.3926197483115805e-06,9.193680305317244e-06,6.898999061009226e-06,4.6001324710717665e-06,2.300440039617848e-06,2.4371087061171156e-05,2.195585900415329e-05,1.0987225909891695e-05,3.196749898914641e-05,3.054747347048419e-05,2.9139389374281444e-05,2.7831130578234733e-05,2.4698199815696002e-05,1.138399803965888e-05,7.374597874577887e-06,1.7487096210354307e-06,0.0,0.0,0.0,0.0,0.0
5,0.00011273573679253924,9.999078377845019e-05,7.14822410920952e-05,6.781868165914034e-05,6.612884598287933e-05,3.100598612782155e-05,2.5233473158894786e-05,1.9446414395366366e-05,1.7814294603813925e-05,1.6179066316844274e-05,1.4782733180761847e-05,1.297783570028017e-05,1.1169560358989803e-05,7.476811541431897e-06,5.905895019022833e-06,4.2474201757678025e-06,2.5896944719913605e-06,9.91742010565167e-06,7.442416822621941e-06,4.96254223744068e-06,2.481706291083657e-06,2.6312657930078895e-05,2.370581083612895e-05,1.186375636782683e-05,3.4585844888608926e-05,3.3051042544033765e-05,3.152898282163598e-05,3.0114140465524066e-05,2.672489312165199e-05,1.2319479366361042e-05,7.980727823485874e-06,1.8924570405194537e-06,0.0,0.0,0.0,0.0,0.0
6,0.00013397098083253283,0.00011889997367040814,8.511395208063995e-05,8.077340752766565e-05,7.876984917595002e-05,3.691792138590117e-05,3.0057346712929478e-05,2.317583929541396e-05,2.1233821766548216e-05,1.9286843841339606e-05,1.76240343131281e-05,1.547434841102272e-05,1.3319191954579316e-05,8.91691436356175e-06,7.04397301460845e-06,5.06629858807474e-06,3.0890564696143248e-06,1.1728507943024662e-05,8.802471057654055e-06,5.86961750338149e-06,2.935418075014554e-06,3.1186739834663844e-05,2.809938094049653e-05,1.4064984553728297e-05,4.120990744145244e-05,3.938581163128676e-05,3.757636296658147e-05,3.589228479970352e-05,3.185480237421701e-05,1.4688294349487525e-05,9.515650126179186e-06,2.25648627817732e-06,0.0,0.0,0.0,0.0,0.0
7,0.00016630141596810408,0.0001477361042998345,0.00010597604262121215,0.00010061326025248969,9.813506155057896e-05,4.5964754348317266e-05,3.744743490895118e-05,2.88970880670957e-05,2.6481722680436292e-05,2.4057733246839182e-05,2.198700519648082e-05,1.9309295145838522e-05,1.662194069358884e-05,1.1130305002152615e-05,8.7935311379363e-06,6.325418446915033e-06,3.856939606043921e-06,1.4449850161442511e-05,1.0846640542102255e-05,7.233075321470011e-06,3.617464152299097e-06,3.855316426702385e-05,3.474102087351713e-05,1.739400173321694e-05,5.136595646019905e-05,4.9101365927040516e-05,4.6853998149689665e-05,4.475828473383424e-05,3.9727533859634615e-05,1.8326371077444096e-05,1.1873266045423449e-05,2.815666684358974e-06,0.0,0.0,0.0,0.0,0.0
8,0.00017721169217234966,0.00015748020264158067,0.00011304631340390248,0.0001073409274732939,0.00010470339718967898,4.903050978955448e-05,3.995408530191869e-05,3.0839889100584294e-05,2.8264366843910215e-05,2.567874571323003e-05,2.3469746795847352e-05,2.0612990161151684e-05,1.7744899575054917e-05,1.1883095445462917e-05,9.38867366274435e-06,6.753805063205765e-06,4.118210278220508e-06,1.535823598300246e-05,1.1529133180623996e-05,7.688328571577369e-06,3.845211534067733e-06,4.102376688683927e-05,3.696892998217106e-05,1.8511109171431928e-05,5.481307312949131e-05,5.2399827814180856e-05,5.000458363928887e-05,4.776948194805823e-05,4.240177449660722e-05,1.95629377963225e-05,1.2674680276637211e-05,3.0057570624449396e-06,0.0,0.0,0.0,0.0,0.0
9,0.00017065729881160936,0.00015162560117190911,0.000108796971281241,0.00010329726089865046,0.00010075539794990407,4.7187960428501825e-05,3.8447420501778166e-05,2.96719997393447e-05,2.7192717908121984e-05,2.470423794737737e-05,2.2578343397976653e-05,1.982920232958426e-05,1.706975974942951e-05,1.1430492790901102e-05,9.030847694805303e-06,6.496235464089362e-06,3.961118984002999e-06,1.4813127634564186e-05,1.1119570984137389e-05,7.415130278179416e-06,3.7085390273004167e-06,3.9540484192770206e-05,3.5631330291101034e-05,1.784039195222885e-05,5.274098499654497e-05,5.0417044639631044e-05,4.8110643388048044e-05,4.5959308897832265e-05,4.079413784013913e-05,1.8819520332056326e-05,1.2192869855071168e-05,2.8914740289866523e-06,0.0,0.0,0.0,0.0,0.0
