hour,line_0_pct,line_1_pct,line_2_pct,line_3_pct,line_4_pct,line_5_pct,line_6_pct,line_7_pct,line_8_pct,line_9_pct,line_10_pct,line_11_pct,line_12_pct,line_13_pct,line_14_pct,line_15_pct,line_16_pct,line_17_pct,line_18_pct,line_19_pct,line_20_pct,line_21_pct,line_22_pct,line_23_pct,line_24_pct,line_25_pct,line_26_pct,line_27_pct,line_28_pct,line_29_pct,line_30_pct,line_31_pct,line_32_pct,line_33_pct,line_34_pct,line_35_pct,line_36_pct
0,0.0001275743980211454,0.00011320149754937058,8.100190947156099e-05,7.6864832363052e-05,7.495561355549468e-05,3.513461237491674e-05,2.8601802625428173e-05,2.2050111947963165e-05,2.0201526905618395e-05,1.8348584570171713e-05,1.676616413025816e-05,1.4720504172690064e-05,1.2670056769897694e-05,8.481997704588143e-06,6.7002493718076225e-06,4.8189659090479444e-06,2.938226994387314e-06,1.1184919716158199e-05,8.394227399361207e-06,5.597336669487392e-06,2.7992222945101463e-06,2.97214647998141e-05,2.6778481037324455e-05,1.340311728943903e-05,3.921074439483171e-05,3.747379459383831e-05,3.5750935707841764e-05,3.41480518547338e-05,3.030617649528005e-05,1.3973047348328666e-05,9.052177865491277e-06,2.146565074546797e-06,0.0,0.0,0.0,0.0,0.0
1,0.00011908045640800085,0.00010563797715040763,7.554937025160042e-05,7.168308576366943e-05,6.9899355081371e-05,3.2769900191623504e-05,2.6672307849764e-05,2.0558388286859566e-05,1.883375959338274e-05,1.7105513930602983e-05,1.5629681232800858e-05,1.3721932883332328e-05,1.1810233610002259e-05,7.905976783011278e-06,6.245034361725745e-06,4.491426349966686e-06,2.73848942867425e-06,1.0460484993896404e-05,7.85020604014058e-06,5.234506792817241e-06,2.617737698975051e-06,2.7771842042467e-05,2.5021062279928803e-05,1.2522630970920287e-05,3.656119853553407e-05,3.493996418386221e-05,3.3332058806794915e-05,3.183686668523703e-05,2.825427798369698e-05,1.3025552997287776e-05,8.438229591218658e-06,2.0009582977845607e-06,0.0,0.0,0.0,0.0,0.0
2,0.00011273573679253924,9.999078377845019e-05,7.14822410920952e-05,6.781868165914034e-05,6.612884598287933e-05,3.100598612782155e-05,2.5233473158894786e-05,1.9446414395366366e-05,1.7814294603813925e-05,1.6179066316844274e-05,1.4782733180761847e-05,1.297783570028017e-05,1.1169560358989803e-05,7.476811541431897e-06,5.905895019022833e-06,4.2474201757678025e-06,2.5896944719913605e-06,9.91742010565167e-06,7.442416822621941e-06,4.96254223744068e-06,2.481706291083657e-06,2.6312657930078895e-05,2.370581083612895e-05,1.186375636782683e-05,3.4585844888608926e-05,3.3051042544033765e-05,3.152898282163598e-05,3.0114140465524066e-05,2.672489312165199e-05,1.2319479366361042e-05,7.980727823485874e-06,1.8924570405194537e-06,0.0,0.0,0.0,0.0,0.0
3,0.00010851801602617874,9.623794304102261e-05,6.878127712062204e-05,6.52526933149945e-05,6.362535002209707e-05,2.983455965013087e-05,2.427813880087296e-05,1.8708297155574633e-05,1.713763457404454e-05,1.5564180663503138e-05,1.4220640063277425e-05,1.2484036220710285e-05,1.0744411267085279e-05,7.192037633494188e-06,5.680867083172864e-06,4.0855220631449555e-06,2.4909703850958206e-06,9.55550076994353e-06,7.170664991531297e-06,4.78130745882955e-06,2.3910576271495047e-06,2.53413022407269e-05,2.2830306097669598e-05,1.1425210995669456e-05,3.327448149538986e-05,3.179713367153285e-05,3.033213061124074e-05,2.8970657939260242e-05,2.5709777480677556e-05,1.1850895856466482e-05,7.677114332079196e-06,1.8204528860455807e-06,0.0,0.0,0.0,0.0,0.0
4,0.00010641275133098804,9.436507721315138e-05,6.743390202263961e-05,6.39727540032545e-05,6.237662581114717e-05,2.925018858634511e-05,2.3801627055813254e-05,1.8340188662303984e-05,1.6800190632618417e-05,1.5257553401133956e-05,1.394034749462932e-05,1.2237809159784842e-05,1.0532420613865969e-05,7.0500474230831964e-06,5.568669293093922e-06,4.004802394367088e-06,2.4417486282572385e-06,9.374578192969223e-06,7.034821300256759e-06,4.690712499025516e-06,2.345744952911968e-06,2.485605243081213e-05,2.2392950664223173e-05,1.1206148587285404e-05,3.2620445295707e-05,3.117177508577674e-05,2.9735248649744473e-05,2.8400402304239566e-05,2.5203548593907564e-05,1.1617237300004151e-05,7.5257196680091865e-06,1.7845488076481402e-06,0.0,0.0,0.0,0.0,0.0
5,0.0001106256743183686,9.811317504474128e-05,7.013072019773914e-05,6.653466595353019e-05,6.487608685413515e-05,3.0419824098015084e-05,2.4755419601156846e-05,1.9077038021907194e-05,1.747566824863926e-05,1.587135072494996e-05,1.450143444516479e-05,1.2730710972394754e-05,1.095679051773363e-05,7.334291884313587e-06,5.793275293812474e-06,4.1663943910432445e-06,2.5402855034348914e-06,9.736448064661411e-06,7.306530157920358e-06,4.871917366324296e-06,2.436378070478636e-06,2.5826837177173424e-05,2.326792594151227e-05,1.164441347520026e-05,3.392961290602174e-05,3.242355441460494e-05,3.0930040305790623e-05,2.954190235562345e-05,2.621689085247418e-05,1.2084975831796822e-05,7.828783251748447e-06,1.856422186122155e-06,0.0,0.0,0.0,0.0,0.0
6,0.0001233224882327483,0.0001094148536480609,7.82713627428415e-05,7.426975264566804e-05,7.242332023585882e-05,3.395040929471203e-05,2.763546399989472e-05,2.1302940379289297e-05,1.9516421465521467e-05,1.7725924431649374e-05,1.6196882572915242e-05,1.422029032235128e-05,1.2239339366161333e-05,8.193439541229054e-06,6.472205308126387e-06,4.654879349796096e-06,2.8381644664320713e-06,1.0822652513875334e-05,8.122173440152766e-06,5.415891609707031e-06,2.708464342372426e-06,2.874607334955055e-05,2.5899233725124297e-05,1.2962589122758886e-05,3.788370409803556e-05,3.620468001768191e-05,3.4539368750528385e-05,3.2990411190306225e-05,2.9278394923686533e-05,1.3498426598048263e-05,8.7446351619677e-06,2.0736264655830663e-06,0.0,0.0,0.0,0.0,0.0
7,0.0001403903009884164,0.000124620936927381,8.924571835370899e-05,8.47013835365116e-05,8.260329204280793e-05,3.870974510378921e-05,3.152023079871852e-05,2.4307612537223075e-05,2.2271757723360934e-05,2.023029742194515e-05,1.8486708372788144e-05,1.6232480620294614e-05,1.3972050214667979e-05,9.354362095326336e-06,7.389714377653637e-06,5.3150955815657326e-06,3.240781574397181e-06,1.22723217990072e-05,9.210910563675765e-06,6.142034631170713e-06,3.0716846841728795e-06,3.2654657808383654e-05,2.94227318109958e-05,1.4728150504938045e-05,4.321953360812152e-05,4.130797946134679e-05,3.941161535167189e-05,3.764597244341689e-05,3.3411887803375076e-05,1.5407576399281013e-05,9.981748774286464e-06,2.36703213477417e-06,0.0,0.0,0.0,0.0,0.0
8,0.00015545893341383182,0.0001380590918860794,9.896488293457626e-05,9.394376585438015e-05,9.162433338397706e-05,4.292449329209839e-05,3.496280154835284e-05,2.6972462971652154e-05,2.4716048733399178e-05,2.2452355427588878e-05,2.05187300760188e-05,1.8018521729240257e-05,1.5510205481719346e-05,1.0385150165081348e-05,8.204478121861113e-06,5.901453014603357e-06,3.598373497624656e-06,1.3542102887671312e-05,1.0164701469186256e-05,6.77820720701965e-06,3.3899168748898593e-06,3.609019082870084e-05,3.2520186877218676e-05,1.6280644106049187e-05,4.795026446872356e-05,4.583340407470791e-05,4.373294707544195e-05,4.17755160675195e-05,3.707873790565802e-05,1.7101958573419972e-05,1.1079764555936773e-05,2.6274584998035545e-06,0.0,0.0,0.0,0.0,0.0
9,0.00016630141596810408,0.0001477361042998345,0.00010597604262121215,0.00010061326025248969,9.813506155057896e-05,4.5964754348317266e-05,3.744743490895118e-05,2.88970880670957e-05,2.6481722680436292e-05,2.4057733246839182e-05,2.198700519648082e-05,1.9309295145838522e-05,1.662194069358884e-05,1.1130305002152615e-05,8.7935311379363e-06,6.325418446915033e-06,3.856939606043921e-06,1.4449850161442511e-05,1.0846640542102255e-05,7.233075321470011e-06,3.617464152299097e-06,3.855316426702385e-05,3.474102087351713e-05,1.739400173321694e-05,5.136595646019905e-05,4.9101365927040516e-05,4.6853998149689665e-05,4.475828473383424e-05,3.9727533859634615e-05,1.8326371077444096e-05,1.1873266045423449e-05,2.815666684358974e-06,0.0,0.0,0.0,0.0,0.0
