hour,bus_0_pu,bus_1_pu,bus_2_pu,bus_3_pu,bus_4_pu,bus_5_pu,bus_6_pu,bus_7_pu,bus_8_pu,bus_9_pu,bus_10_pu,bus_11_pu,bus_12_pu,bus_13_pu,bus_14_pu,bus_15_pu,bus_16_pu,bus_17_pu,bus_18_pu,bus_19_pu,bus_20_pu,bus_21_pu,bus_22_pu,bus_23_pu,bus_24_pu,bus_25_pu,bus_26_pu,bus_27_pu,bus_28_pu,bus_29_pu,bus_30_pu,bus_31_pu,bus_32_pu
0,1.0,0.9982001284145396,0.9896733700670419,0.9851715098534568,0.980724865207887,0.969671316191192,0.9675778230380828,0.9646673593118008,0.9609103838424407,0.9574272798947923,0.9569122012124852,0.9560144148305959,0.9523582204811379,0.9510030661340794,0.9501590835990554,0.9493417738536644,0.9481310009895493,0.9477683942467009,0.9978734501859708,0.9956622753195904,0.9952268832211401,0.9948329888265173,0.9874754401772874,0.9833875434428893,0.9813513168110568,0.9685143859663743,0.9669777435226792,0.9601216519317907,0.9551974414764637,0.9530666452810407,0.9505767845473094,0.9500290694937656,0.9498593721681278
1,1.0,0.9983199534127587,0.9903628394644224,0.9861639785698969,0.9820170310261173,0.9717092024746327,0.9697569731824829,0.9670428102529064,0.9635401064889466,0.9602928957060619,0.959812705893819,0.9589757629249902,0.9555676832010598,0.9543045435286415,0.9535178990845271,0.9527561283626784,0.9516276726987766,0.9512897158718424,0.9980144391497833,0.9959465933466275,0.9955394268779273,0.9951710716576875,0.98830911017578,0.9844895345785416,0.9825870796186285,0.9706305056389112,0.9691978438174771,0.9628057308223879,0.9582148654190823,0.9562283842546729,0.9539073899006473,0.9533968247078508,0.9532386385593258
2,1.0,0.9984094601544078,0.9908776695527993,0.9869048239104509,0.9829813887472785,0.9732296443100538,0.9713827529486411,0.9688149766109843,0.9655018039326525,0.9624304096258486,0.9619762227609645,0.9611846237294962,0.9579614201811265,0.9567668376990117,0.9560229108677643,0.9553025161375707,0.9542353818566468,0.953915788011931,0.9981198107462328,0.9961593997041582,0.9957733899319008,0.9954241774151722,0.9889318641474707,0.9853130962018781,0.9835107429894369,0.9722092683687868,0.9708541144393408,0.9648078499172699,0.9604654487696589,0.958586528238233,0.9563913700910838,0.9559084880176238,0.9557588795910003
3,1.0,0.9984689612251437,0.9912198222230275,0.9873970740891367,0.9836220556043538,0.9742395292163367,0.9724625768833309,0.9699919978495805,0.9668046291541621,0.9638499283203222,0.9634129999754241,0.9626514948825398,0.9595509749003541,0.9584018844612602,0.9576863019958901,0.956993360823,0.9559669122469783,0.9556595020586961,0.9981898845335537,0.9963010672195179,0.9959291559659905,0.9955926997086929,0.9893458589710465,0.9858607580147013,0.9841250319985474,0.9732578677252863,0.9719541616928413,0.9661374610878118,0.9619599782914214,0.9601524479580492,0.9580407991245152,0.9575762884017547,0.9574323723575907
4,1.0,0.9984986611832399,0.991390581184303,0.9876427096542885,0.9839417237289055,0.9747433592857994,0.9730012914126824,0.9705791940343652,0.9674545639442759,0.9645580561443523,0.9641297342564551,0.9633832359356157,0.960343889309265,0.9592174817229477,0.958516031644074,0.9578367785250106,0.9568306148479997,0.9565292791709714,0.9982248696965454,0.9963718404315256,0.9960069766574774,0.9956768968705225,0.9895525070336553,0.9861341784359278,0.9844317339844693,0.9737810056650136,0.9725029570351054,0.9668007408395045,0.9627055020292615,0.9609335726764691,0.9588635652133293,0.9584082152033323,0.9582671376003501
5,1.0,0.9984392275984576,0.9910488519925842,0.98715111266951,0.9833019446253777,0.9737349587163887,0.9719230653113615,0.9694039267491206,0.9661537107045899,0.9631407145393454,0.9626951645608491,0.9619186259427852,0.9587568205114264,0.9575850051793904,0.956855263842436,0.9561486088439339,0.9551018368006637,0.9547883405765973,0.9981548649333266,0.9962302536956857,0.9958512937765073,0.9955084599430054,0.9891389783395419,0.9855870643001264,0.9838180353810153,0.9727339565057341,0.9714045487798794,0.9654731657267112,0.9612132957221625,0.9593701017671281,0.9572167361668407,0.9567430481178086,0.9565962884745349
6,1.0,0.9982601103842147,0.9900185407863036,0.9856684172195488,0.9813718631564711,0.9706917900616111,0.9686690459696318,0.965856893752637,0.9622272793890271,0.9588623339796312,0.9583647311795939,0.9574974219503678,0.9539655173519593,0.9526564575393397,0.9518411989970831,0.9510517122365039,0.9498821780138832,0.9495319201449807,0.9979440156879286,0.9958045171909109,0.9953832402975021,0.9950021177182775,0.9878927545293941,0.9839391012163183,0.9819698038383816,0.9695740445505603,0.9680894841478584,0.9614657920297314,0.9567085507786348,0.9546500418840146,0.9522447706439275,0.9517156649634438,0.9515517339200901
7,1.0,0.9980193361275805,0.9886325452028535,0.9836725845058741,0.9787727157498427,0.9665912279921595,0.9642840587481809,0.9610766951094788,0.9569348868494619,0.953094719790249,0.9525268295503186,0.9515369347518433,0.9475050325046334,0.946010529531005,0.9450797038117925,0.944178271881683,0.9428428051983705,0.9424428596498154,0.9976608886367512,0.9952345420900296,0.994756775590018,0.9943245389141451,0.9862176601133876,0.9817260306198965,0.9794884908487324,0.965315913523603,0.9636219053770204,0.95606360898204,0.9506348695795773,0.9482856271268905,0.945540089291413,0.9449361255322852,0.9447489987739122
8,1.0,0.9978067697244251,0.9874079406645979,0.9819079118458951,0.9764735430636821,0.9629615256669926,0.9604022899095028,0.9568447225532212,0.9522485932409516,0.9479868172552144,0.9473565664015584,0.946257894154185,0.9417821387186539,0.9401229881813601,0.9390895379789783,0.9380886909805517,0.9366058428872814,0.9361617661395629,0.9974112224998326,0.994733570525656,0.9942063123464528,0.9937292918541712,0.9847389346272352,0.9797743589630854,0.9773009451361454,0.9615464816215888,0.9596667021317097,0.951279427035758,0.9452550246539977,0.9426478451474465,0.9396003016585628,0.9389298955890815,0.9387221802529054
9,1.0,0.9976538229976366,0.986526230791172,0.9806366216104501,0.9748165667431303,0.9603442455039313,0.957603073996011,0.9537927641703282,0.948868479596487,0.9443021271292317,0.943626824420825,0.9424495569423129,0.93765299867346,0.9358748296228757,0.9347671852749956,0.9336944602810192,0.9321050410271001,0.9316290539789088,0.9972317523255325,0.9943744160433463,0.9938117702361428,0.9933027273479877,0.9836750359099768,0.9783713529985951,0.975728782278255,0.958828296262647,0.9568143410703958,0.9478283112721048,0.9413736406654442,0.9385801219929665,0.9353143298665322,0.934595907385275,0.9343733127777752
10,1.0,0.9975615987682359,0.9859943399152145,0.979869415972604,0.9738163486345033,0.9587637708317521,0.9559126627865857,0.9519496415174711,0.9468269682287795,0.9420764615329336,0.9413739187221586,0.9401491254089349,0.9351585374327156,0.9333083761258592,0.9321558488165131,0.9310396402753779,0.9293857439846566,0.9288904511187676,0.9971236045147147,0.9941583850569226,0.9935744920174274,0.9930462220318618,0.983033558663477,0.9775258892588659,0.9747815506852439,0.9571868273520776,0.9550917579964779,0.9457437529484168,0.939028951536854,0.936122767103152,0.9327249855964276,0.9319775240274603,0.9317459306741295
11,1.0,0.9974999227695219,0.9856385326826904,0.9793560680995939,0.973146980382308,0.9577058372746182,0.9547811095476044,0.9507158286652113,0.9454602617006519,0.9405863879104595,0.939865596346831,0.9386089626714139,0.9334883644114522,0.9315899615309129,0.9304073566344891,0.9292620075700418,0.9275648996576351,0.9270566684513606,0.9970513088149076,0.9940141368751185,0.9934160728837815,0.9928749791196224,0.9826045790738116,0.9769606991990991,0.9741484003313804,0.9560880396060653,0.9539386358887502,0.9443481590129739,0.9374591012878669,0.9344774404666276,0.9309912245234359,0.9302243062585714,0.929986683526156
12,1.0,0.9974690262453698,0.9854602614622566,0.9790988252160171,0.972811521527646,0.9571755719585658,0.9542139347416266,0.9500973870127075,0.9447751807502345,0.9398394421374533,0.9391094992957446,0.9378368979717677,0.9326510951850799,0.9307284966493485,0.929530805737352,0.9283708404382125,0.9266520578439288,0.9261373368926025,0.9970151012431615,0.9939419439312088,0.9933367926205006,0.9927892852489264,0.9823896870588132,0.9766776357564723,0.9738313220394411,0.9555372891601209,0.9533606399356248,0.943648576838319,0.9366721374564725,0.9336526274589224,0.9301220603476489,0.9293453842137808,0.9291047376247236
13,1.0,0.9974690262453698,0.9854602614622566,0.9790988252160171,0.972811521527646,0.9571755719585658,0.9542139347416266,0.9500973870127075,0.9447751807502345,0.9398394421374533,0.9391094992957446,0.9378368979717677,0.9326510951850799,0.9307284966493485,0.929530805737352,0.9283708404382125,0.9266520578439288,0.9261373368926025,0.9970151012431615,0.9939419439312088,0.9933367926205006,0.9927892852489264,0.9823896870588132,0.9766776357564723,0.9738313220394411,0.9555372891601209,0.9533606399356248,0.943648576838319,0.9366721374564725,0.9336526274589224,0.9301220603476489,0.9293453842137808,0.9291047376247236
14,1.0,0.9974380904470058,0.9852817435435705,0.9788412004562645,0.9724755426332718,0.9566444349004869,0.9536458212861186,0.9494779146986458,0.9440889398832815,0.939091214697726,0.9383521025097099,0.9370635016547677,0.9318123604058242,0.9298655159198472,0.9286527072677935,0.9274780948478846,0.9257375912999378,0.9252163667802402,0.9969788535978238,0.9938697048165362,0.993257464955536,0.99270354282933,0.9821745251860614,0.9763942581704348,0.9735139063863117,0.9549856279990061,0.9527816806657837,0.9429477960885443,0.9358838048006475,0.93282637108819,0.9292513628337585,0.9284649090012206,0.9282212323978096
15,1.0,0.9971561793007241,0.9836955023747399,0.9764519775731246,0.9692847144461896,0.9517098755213771,0.9484447458413883,0.9435736642047708,0.937252499110263,0.9314006265824138,0.9305219403036677,0.9289983943156467,0.922922304838238,0.9207100666665009,0.9192821114191951,0.9179027689510475,0.9159129117604375,0.9153200441456139,0.9966414654588477,0.9931514320231583,0.9924689312722861,0.9918536055691545,0.9804164156282652,0.9743658850259918,0.9713505589951913,0.9498836777459472,0.9474688316182044,0.9368722036421816,0.9292982955047936,0.9259985035202188,0.9220984961035459,0.9212421887491372,0.9209659911283751
16,1.0,0.9961492633540464,0.9780324739696679,0.9678485417706258,0.9577404924283629,0.9338737042667451,0.9296598069468625,0.9221083964479933,0.91221046287613,0.903086415566099,0.9016689992335237,0.8992404953073765,0.8900243034640611,0.8868176279717587,0.8845611350563605,0.8823947151456013,0.8794654114459439,0.878604222974086,0.9954383411578259,0.9905986780443818,0.9896695616665764,0.9888398185306113,0.9742438696320692,0.9674452184416397,0.9640560899631805,0.9314601811877166,0.9283119994811254,0.9151760827628249,0.9059360520697581,0.9018256799765765,0.8968048596785401,0.8957088988315174,0.8953133741562022
17,1.0,0.9926751813937162,0.9582280985024895,0.9374786609514566,0.9167630583806332,0.8699515467261407,0.8619121291226799,0.8443875008544625,0.8208946877087181,0.7993410696739165,0.7958885972570452,0.7900258318904421,0.7687526962902018,0.7617222192803528,0.7562811996028611,0.7510903405000643,0.7445501313908113,0.7426630694736132,0.9913653830473318,0.9824027109288607,0.9807234088573498,0.9792426042405409,0.9529491199970268,0.9440217615726664,0.9395686234607741,0.8655240884962674,0.8598580128365151,0.8380375439768164,0.8231318503804278,0.8162501744452738,0.8073521217435932,0.8054295454871511,0.804615854696938
18,1.0,0.9866696580156697,0.9223919590322166,0.8811953650945776,0.8396471308542751,0.7447982076431704,0.725092292138439,0.6850099861998483,0.6280341836632276,0.5754303150291363,0.5670320318762686,0.5526044266637531,0.49884284439563653,0.48109511882986794,0.4670226680885715,0.4536016361198625,0.4368985856306906,0.4321817705790149,0.9847530612542049,0.9716098035950722,0.9691723060468718,0.9670340840611766,0.9154972517385369,0.9042667458957765,0.898661843247372,0.7371627205106441,0.7274308054249478,0.6910802074220809,0.6666346619456328,0.6551252022858536,0.6397272758613781,0.636423157015652,0.6349252595848169
19,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
20,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
21,1.0,0.9913487513392265,0.9505647290991276,0.9254798730363122,0.900384882053597,0.8441721980317595,0.8343745095031505,0.8123495058397489,0.7825286037081646,0.7551976904307925,0.7507981682383434,0.7433316944198951,0.7164162060773778,0.7076228019192116,0.7006711938558426,0.6940489567437418,0.685836867607089,0.6834816661043026,0.9898446393759476,0.9795393385493004,0.9776210690818145,0.9759353401482886,0.9450116276752893,0.9358404749148762,0.9312653240467468,0.839026229356778,0.8324750956857719,0.807857385592827,0.7912166749517766,0.7834399930499164,0.7731982446552871,0.7709930536853871,0.7700168752842809
22,1.0,0.9953417013349501,0.9735446921969275,0.9607990347122989,0.9481169454521348,0.9191749495947162,0.9142819499920515,0.9040404608161462,0.8905008760922146,0.8780654663749978,0.8760872229625903,0.8727252189150084,0.8604225282120193,0.856298237061551,0.8531927288057146,0.8502249004507763,0.8464106870028152,0.8453023732870066,0.994468368191429,0.9885032917291435,0.98737683770383,0.9863795492079539,0.9696992905934094,0.9630477114092333,0.9597315624363584,0.9163399930618945,0.9126929606009858,0.8982797676195812,0.8883322664509192,0.8838016749549503,0.8780673382217256,0.8768235770178168,0.8763238855792505
23,1.0,0.9974166225894024,0.9852614168557917,0.9785652323859321,0.9719317330333586,0.9560666499422352,0.9532223595285071,0.9484403735799657,0.9422098970436156,0.936459685766612,0.9355764257742962,0.9340577507352533,0.9282022502335943,0.9261325414136513,0.9247197450882858,0.9233606521017973,0.9214814858922824,0.9209262389035818,0.9969356536122388,0.9936668954626201,0.9930351096376362,0.9924689476377987,0.9825313623991577,0.977577074539252,0.9751085090667418,0.9544436263741434,0.9523165857776031,0.9432705806731176,0.9368685987619416,0.9340449097369691,0.9306425900320365,0.9298982157298358,0.9296406481529076
