hour,line_0_pct,line_1_pct,line_2_pct,line_3_pct,line_4_pct,line_5_pct,line_6_pct,line_7_pct,line_8_pct,line_9_pct,line_10_pct,line_11_pct,line_12_pct,line_13_pct,line_14_pct,line_15_pct,line_16_pct,line_17_pct,line_18_pct,line_19_pct,line_20_pct,line_21_pct,line_22_pct,line_23_pct,line_24_pct,line_25_pct,line_26_pct,line_27_pct,line_28_pct,line_29_pct,line_30_pct,line_31_pct,line_32_pct,line_33_pct,line_34_pct,line_35_pct,line_36_pct
0,0.0004922689191769354,0.00042894454304392033,0.000355632783386547,0.00034133113595064603,0.0003288551264271411,0.00018728551454913283,0.0001691863849595485,0.00015073495679403218,0.00013681812204535833,0.00012253601997654588,0.00010868072270093218,9.41834663095209e-05,7.930534661747242e-05,6.199252545039943e-05,4.694856457133854e-05,3.178317285757666e-05,1.6497196698162347e-05,5.0820597937940377e-05,3.821210469464216e-05,2.5494335459137536e-05,1.2756142763859412e-05,6.0420572976964825e-05,4.7435576288254546e-05,2.3760190678150098e-05,0.00012900111357689036,0.00011604594204335401,0.00010309372875776392,9.000320474773436e-05,7.437892376439218e-05,5.087486761808706e-05,3.360536598193987e-05,1.4135753908204907e-05,0.0,0.0,0.0,0.0,0.0
1,0.0004820953992503415,0.0004196490557349046,0.00034853137100366346,0.00033450347160632554,0.0003221643316996881,0.00018373801667588143,0.00016614578055736037,0.0001482184884756722,0.00013449536245848442,0.00012042098505590183,0.00010674366419546426,9.246636811371503e-05,7.78241550003376e-05,6.09206864074483e-05,4.6114995914458045e-05,3.1194688735929426e-05,1.6159062931148237e-05,5.011437264385185e-05,3.767939476848204e-05,2.51385552947329e-05,1.2577955518705522e-05,5.840789990225249e-05,4.561337140006435e-05,2.2845704874721134e-05,0.00012595138831211587,0.00011313858320120856,0.00010032551837944321,8.737412798690006e-05,7.207058122694005e-05,4.962065947632813e-05,3.2790945034277974e-05,1.3918497493552079e-05,0.0,0.0,0.0,0.0,0.0
2,0.0004745488468513905,0.00041275972006823535,0.0003432805237725682,0.00032945670582141526,0.00031721965463229367,0.00018111471602017584,0.00016389918828036857,0.00014636104944782807,0.0001327815003710348,0.0001188608503616666,0.00010531498006658009,9.12001965795922e-05,7.673199633039772e-05,6.013056132559703e-05,4.550066545941966e-05,3.076102973803315e-05,1.59098584527333e-05,4.9585786448476357e-05,3.728070932161262e-05,2.487229245312097e-05,1.2444604801428489e-05,5.690499141538664e-05,4.425234186331842e-05,2.2162756451017296e-05,0.00012370110178547294,0.00011099427523041717,9.82846990777904e-05,8.543659212558249e-05,7.037062750672443e-05,4.869252259620885e-05,3.2188374106128946e-05,1.3757991366822529e-05,0.0,0.0,0.0,0.0,0.0
3,0.00046955695798490016,0.0004082053415312536,0.00033981504763243195,0.0003261266929927748,0.00031395743910832074,0.00017938311777147535,0.00016241710279671947,0.00014513655057968878,0.00013165193086137265,0.0001178328120265509,0.00010437363596506084,9.03660571998925e-05,7.601251926328449e-05,5.9610134472469225e-05,4.509609932300075e-05,3.0475467150667842e-05,1.5745746504479152e-05,4.923392048851086e-05,3.701532922565245e-05,2.4695060973989905e-05,1.2355844560677322e-05,5.590624926306825e-05,4.3347714950890174e-05,2.170886945689281e-05,0.0001222183962170205,0.00010958187533140008,9.694091445511112e-05,8.41612082960497e-05,6.925227057779488e-05,4.8079598213683916e-05,3.1790502233236504e-05,1.3652117666041487e-05,0.0,0.0,0.0,0.0,0.0
4,0.0004670726361146508,0.00040593958229211255,0.0003380926999056933,0.00032447189839813947,0.0003123364659116039,0.0001785224035504931,0.00016168066122417246,0.00014452835355783342,0.0001310909663655776,0.00011732233275103135,0.00010390622731189936,8.995191615076668e-05,7.56553136441691e-05,5.935177488128827e-05,4.489527875623294e-05,3.0333725056326812e-05,1.5664284750784083e-05,4.905814689068953e-05,3.688276367616274e-05,2.4606529315040706e-05,1.2311506988309002e-05,5.540784999259464e-05,4.2896230547158096e-05,2.1482355045850117e-05,0.0001214822661657164,0.00010888080082516326,9.627404246734566e-05,8.352841146163602e-05,6.869758948099057e-05,4.777486195728983e-05,3.1592703087477966e-05,1.3599514258723025e-05,0.0,0.0,0.0,0.0,0.0
5,0.00047204901520285356,0.0004104787075083912,0.0003415443075054178,0.00032778828057545526,0.00031558515393442533,0.0001802472115037922,0.0001631566018330568,0.00014574743986674123,0.00013221543333713438,0.00011834564299944132,0.00010484321256933328,9.078214372053199e-05,7.637140742472147e-05,5.986972525424384e-05,4.529789121366147e-05,3.061789944933865e-05,1.5827602979926955e-05,4.9409800559521866e-05,3.7147977936792576e-05,2.4783648794839823e-05,1.2400210552325254e-05,5.640529789647299e-05,4.379975338004929e-05,2.1935670575046303e-05,0.000122958005744651,0.00011028636521177309,9.761113264641977e-05,8.479726911131904e-05,6.980995170556518e-05,4.838548247653031e-05,3.198905752221623e-05,1.3704942750041405e-05,0.0,0.0,0.0,0.0,0.0
6,0.0004871660835016252,0.00042428097023037057,0.0003520675823698941,0.0003379030420468606,0.0003254955761090173,0.00018550454048678423,0.00016765952223502068,0.00014947092158058142,0.0001356512711802995,0.00012147343189085414,0.0001077075162560298,9.332071579337414e-05,7.856111487037871e-05,6.145393401629358e-05,4.6529673551573316e-05,3.1487434540836546e-05,1.6327276645245592e-05,5.046728103397468e-05,3.794558987636466e-05,2.5316337353140414e-05,1.2666994446889434e-05,5.9412991198719625e-05,4.652341205254596e-05,2.3302396970798428e-05,0.0001274691678794044,0.00011458533827907192,0.00010170287372678337,8.868213111767136e-05,7.321879422059912e-05,5.0245349313939655e-05,3.31965656325607e-05,1.4026654848259024e-05,0.0,0.0,0.0,0.0,0.0
7,0.0001403903009884164,0.000124620936927381,8.924571835370899e-05,8.47013835365116e-05,8.260329204280793e-05,3.870974510378921e-05,3.152023079871852e-05,2.4307612537223075e-05,2.2271757723360934e-05,2.023029742194515e-05,1.8486708372788144e-05,1.6232480620294614e-05,1.3972050214667979e-05,9.354362095326336e-06,7.389714377653637e-06,5.3150955815657326e-06,3.240781574397181e-06,1.22723217990072e-05,9.210910563675765e-06,6.142034631170713e-06,3.0716846841728795e-06,3.2654657808383654e-05,2.94227318109958e-05,1.4728150504938045e-05,4.321953360812152e-05,4.130797946134679e-05,3.941161535167189e-05,3.764597244341689e-05,3.3411887803375076e-05,1.5407576399281013e-05,9.981748774286464e-06,2.36703213477417e-06,0.0,0.0,0.0,0.0,0.0
8,0.00015545893341383182,0.0001380590918860794,9.896488293457626e-05,9.394376585438015e-05,9.162433338397706e-05,4.292449329209839e-05,3.496280154835284e-05,2.6972462971652154e-05,2.4716048733399178e-05,2.2452355427588878e-05,2.05187300760188e-05,1.8018521729240257e-05,1.5510205481719346e-05,1.0385150165081348e-05,8.204478121861113e-06,5.901453014603357e-06,3.598373497624656e-06,1.3542102887671312e-05,1.0164701469186256e-05,6.77820720701965e-06,3.3899168748898593e-06,3.609019082870084e-05,3.2520186877218676e-05,1.6280644106049187e-05,4.795026446872356e-05,4.583340407470791e-05,4.373294707544195e-05,4.17755160675195e-05,3.707873790565802e-05,1.7101958573419972e-05,1.1079764555936773e-05,2.6274584998035545e-06,0.0,0.0,0.0,0.0,0.0
9,0.00016630141596810408,0.0001477361042998345,0.00010597604262121215,0.00010061326025248969,9.813506155057896e-05,4.5964754348317266e-05,3.744743490895118e-05,2.88970880670957e-05,2.6481722680436292e-05,2.4057733246839182e-05,2.198700519648082e-05,1.9309295145838522e-05,1.662194069358884e-05,1.1130305002152615e-05,8.7935311379363e-06,6.325418446915033e-06,3.856939606043921e-06,1.4449850161442511e-05,1.0846640542102255e-05,7.233075321470011e-06,3.617464152299097e-06,3.855316426702385e-05,3.474102087351713e-05,1.739400173321694e-05,5.136595646019905e-05,4.9101365927040516e-05,4.6853998149689665e-05,4.475828473383424e-05,3.9727533859634615e-05,1.8326371077444096e-05,1.1873266045423449e-05,2.815666684358974e-06,0.0,0.0,0.0,0.0,0.0
