hour,bus_0_pu,bus_1_pu,bus_2_pu,bus_3_pu,bus_4_pu,bus_5_pu,bus_6_pu,bus_7_pu,bus_8_pu,bus_9_pu,bus_10_pu,bus_11_pu,bus_12_pu,bus_13_pu,bus_14_pu,bus_15_pu,bus_16_pu,bus_17_pu,bus_18_pu,bus_19_pu,bus_20_pu,bus_21_pu,bus_22_pu,bus_23_pu,bus_24_pu,bus_25_pu,bus_26_pu,bus_27_pu,bus_28_pu,bus_29_pu,bus_30_pu,bus_31_pu,bus_32_pu
0,1.0,0.993260244724776,0.9617704816381344,0.9424038320637458,0.9230645419924655,0.8804279728495298,0.873359549699482,0.8563192031950456,0.8334433774626625,0.8125166164735931,0.8091231824281792,0.8033881387277404,0.7830206810685356,0.7764432817679483,0.7711524680340479,0.7661188626089758,0.7599632768928994,0.7581999178837568,0.9920199536218167,0.9835176530654351,0.9819419469845023,0.9805607728263962,0.9575622069059989,0.9507582522632768,0.9473653685460522,0.8764900761788182,0.8715092357000607,0.8532309222599169,0.8409882844068741,0.8352141498267226,0.8275257130143542,0.8258734185556927,0.825117073009332
1,1.0,0.993413176894509,0.9626690349791581,0.9437295429466255,0.9248182987985893,0.8832425184586569,0.8763899814283878,0.8596724198825506,0.8372377025064358,0.8167204939159767,0.8133891412408353,0.807762216211531,0.7878261333764711,0.7814031914002773,0.7762167591123674,0.7712837740640551,0.765269094018759,0.7635471445637989,0.992194681258288,0.9838403950031067,0.9822937897897797,0.9809389417908227,0.958613359572939,0.95209231002691,0.9488406149324059,0.8794075053314204,0.8745631290760795,0.8568812332153732,0.8450644620495527,0.8394778335310371,0.8320158134855234,0.8304130566205953,0.8296734109340916
2,1.0,0.993526901326184,0.9633367935275833,0.9447140804280554,0.9261201709094674,0.8853306528416387,0.8786378435477137,0.8621590652134745,0.840050232960881,0.8198355383718892,0.8165500340106732,0.8110029433969513,0.7913852931659965,0.7850763809639367,0.77996694910198,0.775108188724032,0.7691974848539346,0.7675061000181478,0.9923247414834327,0.984081384759253,0.9825565890067918,0.9812214706564027,0.9593952471915085,0.9530857751780298,0.9499396584524972,0.8815719823926766,0.8768288545913738,0.8595895116304689,0.8480887363302343,0.8426412031270177,0.835347046434756,0.8337810180173914,0.8330537448956314
3,1.0,0.9936022668581448,0.9637791190666789,0.9453659340846421,0.9269818722671614,0.8867122208805286,0.880124889916956,0.8638037783401685,0.8419099279210137,0.8218947709757138,0.8186395044569263,0.8131450600544817,0.7937373555068383,0.7875036300427976,0.7824449414298342,0.7776350945055449,0.7717929259532688,0.7701216912669089,0.992410992444529,0.9842415504006232,0.9827312866419956,0.9814093143182908,0.9599135082918897,0.9537448054966919,0.9506689272504836,0.8830040658121237,0.8783279277341468,0.8613814154325621,0.8500897274950993,0.8447342141664966,0.8375510644881011,0.8360093251630278,0.8352902299866973
4,1.0,0.9936398169621936,0.963999444041133,0.9456905355956717,0.9274108951830611,0.8873999104221127,0.880865023170651,0.864622298290886,0.842835271658719,0.8229192565455179,0.8196790128682381,0.8142107224994769,0.794907304216907,0.7887109279717869,0.7836774380380908,0.7788918809662456,0.7730837509342283,0.7714225250228417,0.9924539837421175,0.9843214875988989,0.9828184875553044,0.9815030861341923,0.9601717563080654,0.954073354129552,0.9510325513800733,0.8837169011841969,0.8790741079666102,0.8622733615664729,0.8510857528947375,0.8457760402942567,0.8386481286103606,0.8371184759686217,0.8364034490401815
5,1.0,0.9935646285929945,0.9635582373376499,0.9450404518778442,0.9265516348024834,0.886022475124352,0.8793825041994737,0.8629827092216608,0.8409815919360946,0.8208668767488834,0.8175965235787008,0.8120758128584669,0.7925633660987383,0.78629212927963,0.7812081271446639,0.7763738795569721,0.7704975203250438,0.7688162328360667,0.9923679119727986,0.9841615164087802,0.9826439874151951,0.9813154427829337,0.9596546737398342,0.9534156144151623,0.950304631552769,0.8822890998777481,0.8775795172417571,0.8604868073940206,0.8490907315153906,0.8436892784114692,0.8364507142829195,0.8348968498194785,0.8341736726229274
6,1.0,0.9933368995311047,0.9622209503911329,0.9430685750039284,0.9239440247835533,0.8818396578390593,0.8748796022182833,0.8580012897475117,0.8353469787748019,0.8146258972250783,0.8112636423038148,0.8055829016601409,0.7854321221197866,0.7789323038242745,0.7736939307223444,0.7687108766439387,0.7626260747910623,0.7608835162806096,0.9921075082304127,0.9836792303639839,0.9821180778148905,0.9807500696008032,0.9580890368315534,0.9514266501446415,0.9481044208291806,0.8779533615783397,0.8730409659776195,0.855061782260541,0.8430327363237775,0.8373526516370067,0.8297778005038907,0.8281503570543784,0.8274023909351188
7,1.0,0.9980193361275805,0.9886325452028535,0.9836725845058741,0.9787727157498427,0.9665912279921595,0.9642840587481809,0.9610766951094788,0.9569348868494619,0.953094719790249,0.9525268295503186,0.9515369347518433,0.9475050325046334,0.946010529531005,0.9450797038117925,0.944178271881683,0.9428428051983705,0.9424428596498154,0.9976608886367512,0.9952345420900296,0.994756775590018,0.9943245389141451,0.9862176601133876,0.9817260306198965,0.9794884908487324,0.965315913523603,0.9636219053770204,0.95606360898204,0.9506348695795773,0.9482856271268905,0.945540089291413,0.9449361255322852,0.9447489987739122
8,1.0,0.9978067697244251,0.9874079406645979,0.9819079118458951,0.9764735430636821,0.9629615256669926,0.9604022899095028,0.9568447225532212,0.9522485932409516,0.9479868172552144,0.9473565664015584,0.946257894154185,0.9417821387186539,0.9401229881813601,0.9390895379789783,0.9380886909805517,0.9366058428872814,0.9361617661395629,0.9974112224998326,0.994733570525656,0.9942063123464528,0.9937292918541712,0.9847389346272352,0.9797743589630854,0.9773009451361454,0.9615464816215888,0.9596667021317097,0.951279427035758,0.9452550246539977,0.9426478451474465,0.9396003016585628,0.9389298955890815,0.9387221802529054
9,1.0,0.9976538229976366,0.986526230791172,0.9806366216104501,0.9748165667431303,0.9603442455039313,0.957603073996011,0.9537927641703282,0.948868479596487,0.9443021271292317,0.943626824420825,0.9424495569423129,0.93765299867346,0.9358748296228757,0.9347671852749956,0.9336944602810192,0.9321050410271001,0.9316290539789088,0.9972317523255325,0.9943744160433463,0.9938117702361428,0.9933027273479877,0.9836750359099768,0.9783713529985951,0.975728782278255,0.958828296262647,0.9568143410703958,0.9478283112721048,0.9413736406654442,0.9385801219929665,0.9353143298665322,0.934595907385275,0.9343733127777752
